image,threads,mean_exec_time,ci_low,ci_high
64,1,0.00015436363636363635,0.00015196269323513383,0.00015676457949213886
64,2,0.00023688888888888886,0.0002281666877422889,0.0002456110900354888
64,3,0.0002517070707070708,0.0002441696985707205,0.00025924444284342106
64,4,0.00028140404040404043,0.00027504714751210333,0.0002877609332959775
64,5,0.0003745858585858587,0.0003634883117174395,0.0003856834054542779
64,6,0.0004437171717171717,0.0004327880199972274,0.0004546463234371161
64,7,0.0005150505050505051,0.0005029628935221513,0.0005271381165788589
64,8,0.0005838080808080808,0.0005707267637069182,0.0005968893979092435
64,9,0.0006442222222222222,0.0006305313481791173,0.0006579130962653272
64,10,0.0007074848484848485,0.0006939781985858722,0.0007209914983838249
64,11,0.0007897676767676769,0.0007660618995470334,0.0008134734539883203
64,12,0.0008822525252525251,0.0008305481997917895,0.0009339568507132607
64,13,0.0008901010101010101,0.000872630209219625,0.0009075718109823952
64,14,0.0009523838383838385,0.0009330504115634428,0.0009717172652042342
64,15,0.0010137272727272727,0.0009909675961204511,0.0010364869493340943
64,16,0.0012525050505050506,0.0009157576245451579,0.0015892524764649432
256,1,0.002645474747474747,0.002585535939604622,0.0027054135553448723
256,2,0.0015057474747474748,0.0014198678831735061,0.0015916270663214435
256,3,0.0011132828282828281,0.0010753171486712278,0.0011512485078944285
256,4,0.0010750707070707071,0.0009113353156549015,0.0012388060984865126
256,5,0.0010999595959595959,0.0009714401924721944,0.0012284789994469972
256,6,0.0010704646464646465,0.0010336133600208487,0.0011073159329084443
256,7,0.001065030303030303,0.0010307017663878171,0.0010993588396727887
256,8,0.0011375656565656565,0.001110805818866444,0.0011643254942648692
256,9,0.0011494040404040405,0.001121664089507117,0.001177143991300964
256,10,0.0012351414141414142,0.0011853466956538538,0.0012849361326289746
256,11,0.0014410909090909092,0.0013162772133860899,0.0015659046047957286
256,12,0.0014679696969696965,0.001434905465084901,0.0015010339288544922
256,13,0.0016643737373737376,0.001526389298815846,0.0018023581759316293
256,14,0.0016473131313131315,0.0016157647770536916,0.0016788614855725713
256,15,0.001746838383838384,0.0017226423005646107,0.0017710344671121572
256,16,0.0018692323232323228,0.0017743701236953393,0.0019640945227693066
512,1,0.010649656565656565,0.010546763334179173,0.010752549797133958
512,2,0.00545429292929293,0.005434302500615529,0.005474283357970331
512,3,0.0040459898989899,0.003734999710394854,0.004356980087584945
512,4,0.003327545454545455,0.00316112868776026,0.00349396222133065
512,5,0.0028387878787878794,0.002703663293508103,0.002973912464067656
512,6,0.002705242424242424,0.0025769867625025002,0.0028334980859823474
512,7,0.002718484848484849,0.0025285618903223505,0.0029084078066473474
512,8,0.0027439797979797974,0.002631341171112073,0.0028566184248475218
512,9,0.0029427777777777772,0.002888850436000773,0.0029967051195547816
