image,threads,mean_exec_time
64,1,0.00023797979797979802
64,2,0.0003148383838383839
64,3,0.000291020202020202
64,4,0.0003163939393939394
64,5,0.00038377777777777786
64,6,0.000458010101010101
64,7,0.0005379393939393939
64,8,0.0006351818181818183
64,9,0.0007858181818181817
64,10,0.0007892323232323231
64,11,0.000854868686868687
64,12,0.0008620101010101012
64,13,0.0009087373737373739
64,14,0.0009804747474747475
64,15,0.0010842828282828284
64,16,0.001105939393939394
64,17,0.0011494343434343434
64,18,0.0012503333333333333
64,19,0.0012850606060606058
64,20,0.0013561717171717174
64,21,0.0014231414141414143
64,22,0.0014844545454545453
64,23,0.0015277070707070705
64,24,0.0015891313131313131
64,25,0.001648
64,26,0.001710070707070707
64,27,0.001750161616161616
64,28,0.00182989898989899
64,29,0.0018440000000000002
64,30,0.0019224141414141416
64,31,0.001978444444444444
64,32,0.0020687070707070703
256,1,0.0040591818181818186
256,2,0.0024543131313131314
256,3,0.002010929292929293
256,4,0.001855242424242424
256,5,0.0017903333333333334
256,6,0.001931727272727273
256,7,0.0020524747474747473
256,8,0.00217179797979798
256,9,0.0022695050505050504
256,10,0.0023375050505050504
256,11,0.0025023838383838384
256,12,0.002537010101010101
256,13,0.0026887575757575757
256,14,0.0028025050505050496
256,15,0.002877151515151516
256,16,0.0029832020202020205
256,17,0.002967767676767677
256,18,0.003075606060606061
256,19,0.0031672828282828286
256,20,0.00330830303030303
256,21,0.003217535353535354
256,22,0.003372313131313131
256,23,0.0033775757575757576
256,24,0.003379242424242425
256,25,0.003445858585858586
256,26,0.0035169090909090914
256,27,0.003814272727272727
256,28,0.003565575757575758
256,29,0.0036773333333333337
256,30,0.003677929292929293
256,31,0.0037624747474747475
256,32,0.0038865353535353538
512,1,0.01678024242424242
512,2,0.009387747474747476
512,3,0.007285969696969697
512,4,0.00608479797979798
512,5,0.005810454545454545
512,6,0.005561
512,7,0.005934696969696969
512,8,0.006157616161616161
512,9,0.007036929292929294
512,10,0.007015232323232323
512,11,0.0070273030303030296
512,12,0.0070650101010101005
512,13,0.007237313131313131
512,14,0.007134434343434343
512,15,0.007348444444444445
512,16,0.007609111111111112
512,17,0.007793848484848485
512,18,0.007879474747474748
512,19,0.008026686868686869
512,20,0.008184888888888887
512,21,0.008326585858585858
512,22,0.008547919191919192
512,23,0.008640979797979799
512,24,0.008814747474747473
512,25,0.008895545454545455
512,26,0.009071777777777778
512,27,0.00894580808080808
512,28,0.009044595959595957
512,29,0.009235959595959596
512,30,0.009180646464646464
512,31,0.009170474747474747
512,32,0.009331151515151515
1024,1,0.06688961616161618
1024,2,0.03747639393939395
1024,3,0.027993161616161617
1024,4,0.023783878787878795
1024,5,0.020992393939393943
1024,6,0.020191121212121212
1024,7,0.018951242424242423
1024,8,0.01800090909090909
1024,9,0.02036212121212121
1024,10,0.020904444444444444
1024,11,0.020974333333333334
1024,12,0.02061369696969697
1024,13,0.020519151515151518
1024,14,0.020967757575757574
1024,15,0.021197888888888888
1024,16,0.021862383838383837
1024,17,0.022772131313131314
1024,18,0.02349562626262626
1024,19,0.02391567676767677
1024,20,0.023817686868686867
1024,21,0.02399086868686869
1024,22,0.02427606060606061
1024,23,0.024763979797979802
1024,24,0.02483480808080808
1024,25,0.025202626262626263
1024,26,0.025729808080808082
1024,27,0.02579361616161616
1024,28,0.026089707070707076
1024,29,0.026373181818181813
1024,30,0.026318292929292927
1024,31,0.026870909090909095
1024,32,0.027135353535353533
2048,1,0.2695993434343434
2048,2,0.1494450202020202
2048,3,0.10751446464646464
2048,4,0.0872119797979798
2048,5,0.07613661616161617
2048,6,0.07071968686868686
2048,7,0.069607
2048,8,0.0659689393939394
2048,9,0.06778548484848484
2048,10,0.06692016161616161
2048,11,0.06845863636363636
2048,12,0.06672316161616162
2048,13,0.06564820202020202
2048,14,0.06688707070707071
2048,15,0.06608154545454546
2048,16,0.06640789898989899
2048,17,0.06875835353535353
2048,18,0.06803766666666666
2048,19,0.06822523232323233
2048,20,0.0679950202020202
2048,21,0.06744764646464647
2048,22,0.06758717171717171
2048,23,0.06741233333333334
2048,24,0.06728138383838385
2048,25,0.06940975757575757
2048,26,0.06997313131313132
2048,27,0.07013369696969697
2048,28,0.07054533333333333
2048,29,0.07070242424242423
2048,30,0.07155568686868687
2048,31,0.07126650505050505
2048,32,0.07317365656565657
4096,1,1.0699035252525253
4096,2,0.5953972772277228
4096,3,0.4247463465346534
4096,4,0.335244
4096,5,0.2769503564356436
4096,6,0.24587394059405937
4096,7,0.2203594554455446
4096,8,0.20744336633663366
4096,9,0.231231
4096,10,0.21980402970297025
4096,11,0.21118931683168318
4096,12,0.20374645000000002
4096,13,0.20784911000000006
4096,14,0.2047497878787879
4096,15,0.2082680202020202
4096,16,0.20449417171717174
4096,17,0.21011240404040402
4096,18,0.20655491919191915
4096,19,0.20414116161616158
4096,20,0.2056453434343434
4096,21,0.20361947474747472
4096,22,0.20535229292929297
4096,23,0.20329179797979793
4096,24,0.2035667575757575
4096,25,0.20496076767676763
4096,26,0.20602954545454544
4096,27,0.20465046464646464
4096,28,0.20533319191919192
4096,29,0.20546188888888886
4096,30,0.20554471717171716
4096,31,0.20214536363636362
4096,32,0.20588715151515152
