image,threads,mean_exec_time,ci_low,ci_high
64,1,0.00023797979797979802,0.00023611062621831165,0.0002398489697412844
64,2,0.0003148383838383839,0.0002500466292229423,0.0003796301384538255
64,3,0.000291020202020202,0.00028275885690005295,0.0002992815471403511
64,4,0.0003163939393939394,0.0003081077649950957,0.00032468011379278313
64,5,0.00038377777777777786,0.0003732701750270201,0.0003942853805285356
64,6,0.000458010101010101,0.00044714375206926103,0.000468876449950941
64,7,0.0005379393939393939,0.0005255931720302447,0.000550285615848543
64,8,0.0006351818181818183,0.0006128617848923034,0.0006575018514713331
64,9,0.0007858181818181817,0.000607890237678847,0.0009637461259575164
64,10,0.0007892323232323231,0.0006674252680969199,0.0009110393783677264
64,11,0.000854868686868687,0.0007778604264958204,0.0009318769472415535
64,12,0.0008620101010101012,0.0008413623537442496,0.0008826578482759528
64,13,0.0009087373737373739,0.0008870281616184295,0.0009304465858563183
64,14,0.0009804747474747475,0.0009556292570706103,0.0010053202378788846
64,15,0.0010842828282828284,0.0010313821796079441,0.0011371834769577126
64,16,0.001105939393939394,0.001080023439712661,0.0011318553481661268
256,1,0.0040591818181818186,0.0040474484822629365,0.0040709151541007006
256,2,0.0024543131313131314,0.002405983984194937,0.002502642278431326
256,3,0.002010929292929293,0.0019438726360312005,0.0020779859498273857
256,4,0.001855242424242424,0.0017912167418093468,0.0019192681066755011
256,5,0.0017903333333333334,0.0017412650313350503,0.0018394016353316166
256,6,0.001931727272727273,0.0018774529883122408,0.001986001557142305
256,7,0.0020524747474747473,0.0020142603234142974,0.0020906891715351972
256,8,0.00217179797979798,0.0021348037191734827,0.0022087922404224777
256,9,0.0022695050505050504,0.0022330391387217377,0.002305970962288363
256,10,0.0023375050505050504,0.002301065076730961,0.0023739450242791396
256,11,0.0025023838383838384,0.0024548546491164214,0.0025499130276512554
256,12,0.002537010101010101,0.0024993568206325284,0.0025746633813876737
256,13,0.0026887575757575757,0.0026465749122393835,0.002730940239275768
256,14,0.0028025050505050496,0.0027432815613834885,0.0028617285396266108
256,15,0.002877151515151516,0.0027886805190281225,0.00296562251127491
256,16,0.0029832020202020205,0.002931995110275035,0.003034408930129006
512,1,0.01678024242424242,0.016274801705509767,0.017285683142975072
512,2,0.009387747474747476,0.009325049840392943,0.009450445109102009
512,3,0.007285969696969697,0.007109763389068239,0.007462176004871155
512,4,0.00608479797979798,0.005943853571454798,0.006225742388141162
512,5,0.005810454545454545,0.005346512535109889,0.006274396555799201
512,6,0.005561,0.005432634513732796,0.005689365486267204
512,7,0.005934696969696969,0.0057793903767519965,0.006090003562641942
512,8,0.006157616161616161,0.005938021324409426,0.006377210998822895
512,9,0.007036929292929294,0.006885445799925743,0.007188412785932844
512,10,0.007015232323232323,0.006860502801819648,0.007169961844644997
512,11,0.0070273030303030296,0.006899015329865547,0.007155590730740512
512,12,0.0070650101010101005,0.00694325712606103,0.007186763075959171
512,13,0.007237313131313131,0.006815205625744672,0.00765942063688159
512,14,0.007134434343434343,0.007029134511270064,0.007239734175598622
512,15,0.007348444444444445,0.0072550128526934765,0.007441876036195413
512,16,0.007609111111111112,0.007527172469167817,0.007691049753054406
1024,1,0.06688961616161618,0.06663989436910447,0.06713933795412788
