1,0.000321
2,0.000487
3,0.000348
4,0.000439
5,0.000368
6,0.000359
7,0.000388
8,0.000607
9,0.000328
10,0.000319
11,0.000399
12,0.000317
13,0.000288
14,0.000570
15,0.000306
16,0.000361
17,0.000355
18,0.000281
19,0.000265
20,0.000315
21,0.000288
22,0.000293
23,0.000311
24,0.000373
25,0.000577
26,0.000387
27,0.000320
28,0.000422
29,0.000343
30,0.000355
31,0.000329
32,0.000337
33,0.000580
34,0.000339
35,0.000404
36,0.000370
37,0.000407
38,0.000326
39,0.000565
40,0.000356
41,0.000329
42,0.000299
43,0.000305
44,0.000571
45,0.000325
46,0.000572
47,0.000382
48,0.000569
49,0.000336
50,0.000326
51,0.000326
52,0.000351
53,0.000582
54,0.000407
55,0.000837
56,0.000338
57,0.000316
58,0.000309
59,0.000318
60,0.000618
61,0.000588
62,0.000561
63,0.000698
64,0.000505
65,0.000400
66,0.000312
67,0.000326
68,0.000358
69,0.000601
70,0.000346
71,0.000271
72,0.000340
73,0.000335
74,0.000333
75,0.000341
76,0.000327
77,0.000336
78,0.000582
79,0.000329
80,0.000333
81,0.000356
82,0.000327
83,0.000415
84,0.000654
85,0.000670
86,0.000422
87,0.000528
88,0.000370
89,0.000430
90,0.000286
91,0.000310
92,0.000289
93,0.000283
94,0.000330
95,0.000293
96,0.000311
97,0.000394
98,0.000360
99,0.000600
100,0.000391
