           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.410592 [0004]  Xorg:cs0[1091/1087]                 0.134      0.002      0.031 
   12684.410599 [0001]  gfx[850]                            0.043      0.003      0.010 
   12684.410604 [0002]  <idle>                              0.055      0.000      0.074 
   12684.410616 [0000]  Xorg[1087]                          0.015      0.002      0.024 
   12684.410652 [0001]  <idle>                              0.010      0.000      0.053 
   12684.410661 [0001]  gfx[850]                            0.053      0.003      0.008 
   12684.410671 [0000]  <idle>                              0.024      0.000      0.054 
   12684.410682 [0000]  Xorg[1087]                          0.054      0.003      0.010 
   12684.410695 [0002]  budgie-wm[1560]                     0.074      0.005      0.091 
   12684.410718 [0001]  <idle>                              0.008      0.000      0.057 
   12684.410722 [0001]  gfx[850]                            0.057      0.003      0.003 
   12684.411005 [0001]  <idle>                              0.003      0.000      0.282 
   12684.411007 [0001]  gfx[850]                            0.282      0.002      0.002 
   12684.412830 [0005]  conv[18451]                         0.000      0.005      6.251 
   12684.412886 [0005]  ksoftirqd/5[47]                     0.000      0.003      0.055 
   12684.416799 [0002]  <idle>                              0.091      0.000      6.103 
   12684.416809 [0002]  rcu_preempt[15]                     7.980      0.009      0.010 
   12684.422101 [0000]  <idle>                              0.010      0.000     11.418 
   12684.422125 [0000]  code[17682/17658]                   0.000      0.004      0.024 
   12684.422127 [0007]  <idle>                              0.000      0.000     15.330 
   12684.422204 [0000]  <idle>                              0.024      0.000      0.079 
   12684.422209 [0000]  code[17682/17658]                   0.079      0.004      0.005 
   12684.422213 [0007]  code[17658]                         0.000      0.007      0.086 
   12684.423203 [0000]  <idle>                              0.005      0.000      0.993 
   12684.423203 [0003]  <idle>                              0.049      0.000     14.116 
   12684.423221 [0003]  kworker/u32:13-[17311]             14.116      0.006      0.017 
   12684.423231 [0002]  <idle>                              0.010      0.000      6.421 
   12684.423239 [0000]  Xorg[1087]                         12.520      0.003      0.035 
   12684.423311 [0000]  <idle>                              0.035      0.000      0.072 
   12684.423326 [0002]  budgie-wm[1560]                    12.535      0.006      0.095 
   12684.423328 [0006]  <idle>                              1.441      0.000     13.292 
   12684.423329 [0000]  Xorg[1087]                          0.072      0.005      0.017 
   12684.423367 [0006]  tilix[2046]                        13.292      0.005      0.039 
   12684.424378 [0002]  <idle>                              0.095      0.000      1.051 
   12684.424405 [0000]  <idle>                              0.017      0.000      1.075 
   12684.424406 [0002]  budgie-wm[1560]                     1.051      0.005      0.027 
   12684.424416 [0002]  <idle>                              0.027      0.000      0.010 
   12684.424418 [0000]  Xorg[1087]                          1.075      0.005      0.013 
   12684.424654 [0000]  <idle>                              0.013      0.000      0.236 
   12684.424660 [0002]  budgie-wm[1560]                     0.010      0.004      0.243 
   12684.424667 [0000]  Xorg[1087]                          0.236      0.005      0.013 
   12684.424668 [0002]  <idle>                              0.243      0.000      0.008 
   12684.424799 [0007]  <idle>                              0.086      0.000      2.585 
   12684.424803 [0007]  rcu_preempt[15]                     7.989      0.007      0.003 
   12684.424816 [0005]  conv[18451]                         0.055      0.000     11.929 
   12684.424821 [0007]  <idle>                              0.003      0.000      0.018 
   12684.424827 [0007]  rcu_preempt[15]                     0.018      0.002      0.005 
   12684.424915 [0005]  ksoftirqd/5[47]                    11.929      0.002      0.099 
   12684.424945 [0006]  <idle>                              0.039      0.000      1.578 
   12684.424966 [0002]  budgie-wm[1560]                     0.008      0.006      0.297 
   12684.424998 [0001]  <idle>                              0.002      0.000     13.990 
   12684.425003 [0006]  budgie-wm:cs0[1567/1560]           16.524      0.005      0.057 
   12684.425006 [0002]  <idle>                              0.297      0.000      0.040 
   12684.425018 [0001]  gfx[850]                           13.990      0.007      0.019 
   12684.425033 [0000]  <idle>                              0.013      0.000      0.365 
   12684.425042 [0002]  budgie-wm[1560]                     0.040      0.008      0.035 
   12684.425087 [0003]  <idle>                              0.017      0.000      1.866 
   12684.425114 [0002]  <idle>                              0.035      0.000      0.071 
   12684.425115 [0000]  Xorg[1087]                          0.365      0.004      0.082 
   12684.425136 [0003]  kworker/u32:13-[17311]              1.866      0.008      0.049 
   12684.425159 [0000]  <idle>                              0.082      0.000      0.043 
   12684.425172 [0006]  <idle>                              0.057      0.000      0.169 
   12684.425174 [0000]  Xorg[1087]                          0.043      0.005      0.015 
   12684.425186 [0002]  budgie-wm[1560]                     0.071      0.007      0.071 
   12684.425657 [0001]  <idle>                              0.019      0.000      0.639 
   12684.425658 [0003]  <idle>                              0.049      0.000      0.521 
   12684.425663 [0001]  gfx[850]                            0.639      0.004      0.005 
   12684.425709 [0003]  kworker/u32:13-[17311]              0.521      0.006      0.051 
   12684.426075 [0000]  <idle>                              0.015      0.000      0.901 
   12684.426082 [0006]  tilix[2046]                         1.804      0.003      0.910 
   12684.426177 [0004]  <idle>                              0.031      0.000     15.584 
   12684.426182 [0000]  Xorg[1087]                          0.901      0.005      0.106 
   12684.426212 [0001]  <idle>                              0.005      0.000      0.548 
   12684.426216 [0004]  Xorg:cs0[1091/1087]                15.584      0.008      0.038 
   12684.426216 [0000]  <idle>                              0.106      0.000      0.034 
   12684.426232 [0001]  gfx[850]                            0.548      0.005      0.020 
   12684.426308 [0001]  <idle>                              0.020      0.000      0.076 
   12684.426314 [0001]  gfx[850]                            0.076      0.006      0.005 
   12684.426321 [0004]  <idle>                              0.038      0.000      0.104 
   12684.426325 [0000]  Xorg[1087]                          0.034      0.004      0.108 
   12684.426337 [0001]  <idle>                              0.005      0.000      0.023 
   12684.426340 [0004]  Xorg:cs0[1091/1087]                 0.104      0.004      0.019 
   12684.426342 [0000]  <idle>                              0.108      0.000      0.017 
   12684.426354 [0001]  gfx[850]                            0.023      0.003      0.016 
   12684.426420 [0004]  <idle>                              0.019      0.000      0.079 
   12684.426424 [0001]  <idle>                              0.016      0.000      0.069 
   12684.426426 [0000]  Xorg[1087]                          0.017      0.004      0.083 
   12684.426429 [0001]  gfx[850]                            0.069      0.005      0.005 
   12684.426434 [0001]  <idle>                              0.005      0.000      0.004 
   12684.426436 [0004]  Xorg:cs0[1091/1087]                 0.079      0.004      0.015 
   12684.426437 [0000]  <idle>                              0.083      0.000      0.011 
   12684.426446 [0001]  gfx[850]                            0.004      0.004      0.011 
   12684.426507 [0001]  <idle>                              0.011      0.000      0.061 
   12684.426512 [0004]  <idle>                              0.015      0.000      0.076 
   12684.426514 [0001]  gfx[850]                            0.061      0.005      0.006 
   12684.426518 [0000]  Xorg[1087]                          0.011      0.004      0.080 
   12684.426525 [0001]  <idle>                              0.006      0.000      0.011 
   12684.426527 [0004]  Xorg:cs0[1091/1087]                 0.076      0.004      0.015 
   12684.426529 [0000]  <idle>                              0.080      0.000      0.011 
   12684.426544 [0001]  gfx[850]                            0.011      0.003      0.019 
   12684.426598 [0002]  <idle>                              0.071      0.000      1.412 
   12684.426614 [0001]  <idle>                              0.019      0.000      0.070 
   12684.426620 [0001]  gfx[850]                            0.070      0.004      0.005 
   12684.426648 [0002]  budgie-wm[1560]                     1.412      0.007      0.050 
   12684.426694 [0004]  <idle>                              0.015      0.000      0.166 
   12684.426704 [0000]  Xorg[1087]                          0.011      0.004      0.174 
   12684.426719 [0001]  <idle>                              0.005      0.000      0.099 
   12684.426722 [0004]  Xorg:cs0[1091/1087]                 0.166      0.003      0.028 
   12684.426723 [0000]  <idle>                              0.174      0.000      0.019 
   12684.426736 [0001]  gfx[850]                            0.099      0.003      0.017 
   12684.426737 [0002]  <idle>                              0.050      0.000      0.088 
   12684.426753 [0000]  Xorg[1087]                          0.019      0.003      0.030 
   12684.426802 [0000]  <idle>                              0.030      0.000      0.048 
   12684.426814 [0000]  Xorg[1087]                          0.048      0.004      0.011 
   12684.426825 [0002]  budgie-wm[1560]                     0.088      0.005      0.088 
   12684.427014 [0001]  <idle>                              0.017      0.000      0.277 
   12684.427018 [0001]  gfx[850]                            0.277      0.002      0.004 
   12684.428801 [0007]  <idle>                              0.005      0.000      3.973 
   12684.428806 [0007]  rcu_preempt[15]                     3.973      0.007      0.005 
