           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
   12684.510374 [0001]  gfx[850]                            0.271      0.008      0.016 
   12684.510390 [0004]  <idle>                              0.013      0.000      0.146 
   12684.510397 [0000]  Xorg[1087]                          0.010      0.003      0.152 
   12684.510402 [0000]  <idle>                              0.152      0.000      0.005 
   12684.510408 [0000]  Xorg[1087]                          0.005      0.005      0.006 
   12684.510417 [0001]  <idle>                              0.016      0.000      0.042 
   12684.510421 [0004]  Xorg:cs0[1091/1087]                 0.146      0.003      0.031 
   12684.510422 [0000]  <idle>                              0.006      0.000      0.013 
   12684.510429 [0001]  gfx[850]                            0.042      0.004      0.012 
   12684.510435 [0002]  <idle>                              0.050      0.000      0.085 
   12684.510450 [0000]  Xorg[1087]                          0.013      0.003      0.028 
   12684.510480 [0001]  <idle>                              0.012      0.000      0.050 
   12684.510490 [0001]  gfx[850]                            0.050      0.004      0.009 
   12684.510499 [0000]  <idle>                              0.028      0.000      0.049 
   12684.510512 [0000]  Xorg[1087]                          0.049      0.004      0.012 
   12684.510523 [0002]  budgie-wm[1560]                     0.085      0.005      0.087 
   12684.510546 [0001]  <idle>                              0.009      0.000      0.056 
   12684.510550 [0001]  gfx[850]                            0.056      0.003      0.004 
   12684.510831 [0001]  <idle>                              0.004      0.000      0.280 
   12684.510834 [0001]  gfx[850]                            0.280      0.003      0.003 
   12684.512768 [0007]  <idle>                              0.008      0.000      3.986 
   12684.512776 [0007]  rcu_preempt[15]                     3.986      0.012      0.007 
   12684.516486 [0002]  <idle>                              0.087      0.000      5.963 
   12684.516589 [0002]  avahi-daemon[609]                  78.049      0.007      0.102 
   12684.520753 [0004]  <idle>                              0.031      0.000     10.331 
   12684.520758 [0007]  <idle>                              0.007      0.000      7.982 
   12684.520762 [0007]  rcu_preempt[15]                     7.982      0.008      0.004 
   12684.520782 [0004]  iio-sensor-prox[620]                0.000      0.006      0.028 
   12684.520932 [0004]  <idle>                              0.028      0.000      0.150 
   12684.520953 [0004]  iio-sensor-prox[620]                0.150      0.004      0.020 
   12684.521082 [0004]  <idle>                              0.020      0.000      0.129 
   12684.521122 [0004]  iio-sensor-prox[620]                0.129      0.003      0.039 
   12684.521223 [0004]  <idle>                              0.039      0.000      0.101 
   12684.521305 [0004]  iio-sensor-prox[620]                0.101      0.003      0.082 
   12684.521435 [0004]  <idle>                              0.082      0.000      0.129 
   12684.521453 [0004]  iio-sensor-prox[620]                0.129      0.003      0.018 
   12684.521555 [0004]  <idle>                              0.018      0.000      0.101 
   12684.521560 [0004]  iio-sensor-prox[620]                0.101      0.003      0.005 
   12684.522634 [0002]  <idle>                              0.102      0.000      6.045 
   12684.522701 [0002]  avahi-daemon[609]                   6.045      0.004      0.066 
   12684.523155 [0000]  <idle>                              0.012      0.000     12.643 
   12684.523159 [0003]  <idle>                              0.047      0.000     14.240 
   12684.523177 [0002]  <idle>                              0.066      0.000      0.475 
   12684.523177 [0003]  kworker/u32:13-[17311]             14.240      0.009      0.018 
   12684.523185 [0000]  Xorg[1087]                         12.643      0.003      0.029 
   12684.523270 [0000]  <idle>                              0.029      0.000      0.084 
   12684.523286 [0000]  Xorg[1087]                          0.084      0.004      0.016 
   12684.523286 [0006]  <idle>                              1.412      0.000     13.441 
   12684.523288 [0002]  budgie-wm[1560]                    12.653      0.005      0.111 
   12684.523336 [0006]  tilix[2046]                        13.441      0.006      0.049 
   12684.523752 [0002]  <idle>                              0.111      0.000      0.464 
   12684.523883 [0002]  avahi-daemon[609]                   1.051      0.005      0.130 
   12684.524336 [0002]  <idle>                              0.130      0.000      0.453 
   12684.524366 [0000]  <idle>                              0.016      0.000      1.080 
   12684.524370 [0002]  budgie-wm[1560]                     1.048      0.004      0.033 
   12684.524378 [0002]  <idle>                              0.033      0.000      0.008 
   12684.524379 [0000]  Xorg[1087]                          1.080      0.003      0.012 
   12684.524621 [0000]  <idle>                              0.012      0.000      0.242 
   12684.524627 [0002]  budgie-wm[1560]                     0.008      0.003      0.249 
   12684.524633 [0000]  Xorg[1087]                          0.242      0.004      0.011 
   12684.524635 [0002]  <idle>                              0.249      0.000      0.007 
   12684.524757 [0007]  <idle>                              0.004      0.000      3.994 
   12684.524762 [0007]  rcu_preempt[15]                     3.994      0.006      0.005 
   12684.524909 [0006]  <idle>                              0.049      0.000      1.573 
   12684.524924 [0002]  budgie-wm[1560]                     0.007      0.006      0.288 
   12684.524934 [0002]  <idle>                              0.288      0.000      0.010 
   12684.524973 [0001]  <idle>                              0.003      0.000     14.138 
   12684.524988 [0006]  budgie-wm:cs0[1567/1560]           16.637      0.007      0.078 
   12684.524993 [0001]  gfx[850]                           14.138      0.007      0.019 
   12684.524996 [0003]  <idle>                              0.018      0.000      1.818 
   12684.525030 [0000]  <idle>                              0.011      0.000      0.396 
   12684.525049 [0003]  budgie-wm[1560]                     0.071      0.019      0.053 
   12684.525071 [0002]  avahi-daemon[609]                   1.051      0.005      0.136 
   12684.525081 [0003]  <idle>                              0.053      0.000      0.032 
   12684.525110 [0002]  <idle>                              0.136      0.000      0.039 
   12684.525112 [0000]  Xorg[1087]                          0.396      0.004      0.082 
   12684.525131 [0003]  kworker/u32:13-[17311]              1.903      0.006      0.049 
   12684.525157 [0000]  <idle>                              0.082      0.000      0.044 
   12684.525172 [0000]  Xorg[1087]                          0.044      0.003      0.014 
   12684.525172 [0006]  <idle>                              0.078      0.000      0.184 
   12684.525185 [0002]  budgie-wm[1560]                     0.061      0.007      0.075 
   12684.525599 [0001]  <idle>                              0.019      0.000      0.605 
   12684.525599 [0003]  <idle>                              0.049      0.000      0.468 
   12684.525604 [0001]  gfx[850]                            0.605      0.005      0.005 
   12684.525652 [0003]  kworker/u32:13-[17311]              0.468      0.007      0.052 
   12684.526119 [0002]  <idle>                              0.075      0.000      0.933 
   12684.526252 [0002]  avahi-daemon[609]                   1.048      0.004      0.132 
   12684.526537 [0000]  <idle>                              0.014      0.000      1.364 
   12684.526554 [0006]  tilix[2046]                         1.836      0.005      1.381 
   12684.526635 [0004]  <idle>                              0.005      0.000      5.074 
   12684.526641 [0000]  Xorg[1087]                          1.364      0.004      0.104 
   12684.526673 [0001]  <idle>                              0.005      0.000      1.068 
   12684.526677 [0004]  Xorg:cs0[1091/1087]                16.213      0.007      0.042 
   12684.526678 [0000]  <idle>                              0.104      0.000      0.036 
   12684.526694 [0001]  gfx[850]                            1.068      0.005      0.021 
   12684.526776 [0004]  <idle>                              0.042      0.000      0.099 
   12684.526782 [0000]  Xorg[1087]                          0.036      0.005      0.104 
   12684.526792 [0004]  Xorg:cs0[1091/1087]                 0.099      0.003      0.015 
   12684.526792 [0001]  <idle>                              0.021      0.000      0.098 
   12684.526793 [0000]  <idle>                              0.104      0.000      0.010 
   12684.526809 [0001]  gfx[850]                            0.098      0.006      0.016 
   12684.526865 [0004]  <idle>                              0.015      0.000      0.073 
   12684.526871 [0000]  Xorg[1087]                          0.010      0.003      0.077 
   12684.526878 [0004]  Xorg:cs0[1091/1087]                 0.073      0.002      0.013 
   12684.526879 [0000]  <idle>                              0.077      0.000      0.008 
   12684.526946 [0004]  <idle>                              0.013      0.000      0.068 
   12684.526952 [0000]  Xorg[1087]                          0.008      0.003      0.072 
   12684.526959 [0004]  Xorg:cs0[1091/1087]                 0.068      0.002      0.013 
   12684.526960 [0000]  <idle>                              0.072      0.000      0.008 
   12684.527012 [0002]  <idle>                              0.132      0.000      0.760 
   12684.527071 [0002]  budgie-wm[1560]                     1.826      0.005      0.058 
   12684.527097 [0004]  <idle>                              0.013      0.000      0.137 
   12684.527107 [0000]  Xorg[1087]                          0.008      0.003      0.146 
   12684.527113 [0001]  <idle>                              0.016      0.000      0.303 
   12684.527126 [0001]  gfx[850]                            0.303      0.007      0.013 
   12684.527127 [0004]  Xorg:cs0[1091/1087]                 0.137      0.002      0.030 
   12684.527128 [0000]  <idle>                              0.146      0.000      0.021 
   12684.527139 [0002]  <idle>                              0.058      0.000      0.068 
   12684.527155 [0000]  Xorg[1087]                          0.021      0.003      0.026 
   12684.527170 [0001]  <idle>                              0.013      0.000      0.044 
   12684.527181 [0001]  gfx[850]                            0.044      0.004      0.010 
   12684.527207 [0000]  <idle>                              0.026      0.000      0.052 
   12684.527220 [0000]  Xorg[1087]                          0.052      0.004      0.013 
   12684.527230 [0002]  budgie-wm[1560]                     0.068      0.004      0.090 
   12684.527235 [0001]  <idle>                              0.010      0.000      0.053 
   12684.527245 [0001]  gfx[850]                            0.053      0.003      0.009 
   12684.527300 [0001]  <idle>                              0.009      0.000      0.054 
   12684.527302 [0002]  <idle>                              0.090      0.000      0.072 
   12684.527303 [0001]  gfx[850]                            0.054      0.003      0.003 
   12684.527432 [0002]  avahi-daemon[609]                   1.050      0.005      0.129 
   12684.527586 [0001]  <idle>                              0.003      0.000      0.282 
   12684.527589 [0001]  gfx[850]                            0.282      0.003      0.003 
   12684.527726 [0007]  <idle>                              0.005      0.000      2.964 
   12684.527755 [0000]  <idle>                              0.013      0.000      0.534 
   12684.527756 [0001]  <idle>                              0.003      0.000      0.166 
   12684.527765 [0001]  cpptools[18178/18171]               0.000      0.009      0.008 
   12684.527767 [0002]  <idle>                              0.129      0.000      0.335 
   12684.527770 [0003]  <idle>                              0.052      0.000      2.117 
   12684.527770 [0004]  <idle>                              0.030      0.000      0.643 
   12684.527776 [0001]  cpptools[18177/18171]               0.000      0.013      0.010 
   12684.527779 [0000]  cpptools[18174/18171]               0.000      0.005      0.024 
   12684.527782 [0006]  <idle>                              1.381      0.000      1.227 
   12684.527784 [0001]  <idle>                              0.019      0.000      0.008 
   12684.527791 [0002]  cpptools[18180/18171]               0.000      0.014      0.024 
   12684.527793 [0001]  cpptools[18178/18171]               0.019      0.006      0.008 
   12684.527793 [0000]  cpptools[18173/18171]               0.000      0.021      0.013 
   12684.527796 [0007]  cpptools[18183/18171]               0.000      0.010      0.069 
   12684.527797 [0002]  <idle>                              0.024      0.000      0.005 
   12684.527800 [0001]  cpptools[18177/18171]               0.017      0.014      0.006 
   12684.527800 [0000]  cpptools[18174/18171]               0.013      0.000      0.007 
   12684.527802 [0006]  cpptools[18179/18171]               0.000      0.011      0.020 
   12684.527802 [0007]  <idle>                              0.069      0.000      0.006 
   12684.527802 [0004]  cpptools[18175/18171]               0.000      0.008      0.032 
   12684.527804 [0002]  cpptools[18180/18171]               0.005      0.000      0.006 
   12684.527807 [0003]  cpptools[18181/18171]               0.000      0.009      0.036 
   12684.527811 [0007]  cpptools[18183/18171]               0.006      0.000      0.008 
   12684.527817 [0001]  <idle>                              0.015      0.000      0.017 
   12684.527817 [0003]  cpptools[18176/18171]               0.000      0.040      0.010 
   12684.527823 [0003]  <idle>                              0.047      0.000      0.006 
   12684.527824 [0000]  <idle>                              0.045      0.000      0.023 
   12684.527830 [0004]  <idle>                              0.032      0.000      0.027 
   12684.527830 [0001]  cpptools[18178/18171]               0.023      0.004      0.013 
   12684.527830 [0006]  <idle>                              0.020      0.000      0.027 
   12684.527831 [0000]  cpptools[18174/18171]               0.023      0.002      0.006 
   12684.527832 [0002]  <idle>                              0.006      0.000      0.027 
   12684.527833 [0003]  cpptools[18181/18171]               0.016      0.004      0.010 
   12684.527836 [0004]  cpptools[18177/18171]               0.029      0.003      0.006 
   12684.527839 [0000]  <idle>                              0.006      0.000      0.008 
   12684.527839 [0003]  <idle>                              0.010      0.000      0.005 
   12684.527839 [0002]  cpptools[18180/18171]               0.027      0.004      0.007 
   12684.527841 [0006]  cpptools[18173/18171]               0.037      0.007      0.011 
   12684.527843 [0004]  <idle>                              0.006      0.000      0.007 
   12684.527844 [0000]  cpptools[18179/18171]               0.036      0.005      0.005 
   12684.527846 [0003]  cpptools[18176/18171]               0.021      0.007      0.006 
   12684.527847 [0004]  cpptools[18175/18171]               0.040      0.002      0.003 
   12684.528272 [0000]  <idle>                              0.005      0.000      0.427 
   12684.528282 [0000]  Xorg[1087]                          1.051      0.002      0.010 
   12684.528480 [0002]  <idle>                              0.007      0.000      0.640 
   12684.528584 [0002]  avahi-daemon[609]                   1.048      0.004      0.103 
   12684.530547 [0003]  <idle>                              0.006      0.000      2.701 
   12684.530562 [0003]  code[17695/17658]                   0.000      0.005      0.015 
   12684.532156 [0004]  <idle>                              0.003      0.000      4.309 
   12684.532179 [0004]  code[17677/17638]                  75.049      0.003      0.022 
   12684.532181 [0000]  <idle>                              0.010      0.000      3.898 
   12684.532495 [0002]  <idle>                              0.103      0.000      3.911 
   12684.532547 [0004]  <idle>                              0.022      0.000      0.368 
   12684.532553 [0004]  code[17677/17638]                   0.368      0.003      0.005 
   12684.532558 [0006]  <idle>                              0.011      0.000      4.716 
   12684.532564 [0000]  code[17638]                        75.068      0.007      0.383 
   12684.532565 [0002]  Chrome_ChildIOT[17616/17603]        0.000      0.009      0.069 
   12684.532758 [0007]  <idle>                              0.008      0.000      4.946 
   12684.532770 [0007]  rcu_preempt[15]                     7.995      0.011      0.012 
   12684.533186 [0002]  <idle>                              0.069      0.000      0.621 
   12684.533245 [0002]  Chrome_ChildIOT[17661/17658]        0.000      0.009      0.059 
   12684.533250 [0007]  <idle>                              0.012      0.000      0.479 
   12684.533354 [0006]  code[17603]                         0.000      0.006      0.795 
   12684.533463 [0007]  code[17658]                       111.036      0.017      0.213 
   12684.533501 [0002]  <idle>                              0.059      0.000      0.255 
   12684.533522 [0002]  kworker/u32:32-[17335]            102.396      0.006      0.020 
   12684.533704 [0007]  irq/76-rtw88_pc[671]               95.204      0.012      0.240 
   12684.533991 [0000]  <idle>                              0.383      0.000      1.427 
   12684.534005 [0000]  code[17682/17658]                 111.781      0.007      0.014 
   12684.534162 [0002]  <idle>                              0.020      0.000      0.640 
   12684.534206 [0006]  <idle>                              0.795      0.000      0.852 
   12684.534221 [0002]  Chrome_ChildIOT[17616/17603]        1.597      0.007      0.058 
   12684.534226 [0000]  <idle>                              0.014      0.000      0.221 
   12684.534231 [0000]  code[17682/17658]                   0.221      0.004      0.004 
   12684.534234 [0007]  code[17658]                         0.240      0.000      0.530 
   12684.534378 [0006]  code[17603]                         0.852      0.012      0.171 
   12684.537285 [0007]  <idle>                              0.984      0.000      3.050 
   12684.537338 [0003]  <idle>                              0.015      0.000      6.775 
   12684.537413 [0003]  NetworkManager[615]                 0.000      0.010      0.074 
   12684.537539 [0007]  irq/76-rtw88_pc[671]                3.581      0.005      0.254 
   12684.539818 [0003]  <idle>                              0.074      0.000      2.405 
   12684.539818 [0000]  <idle>                              0.004      0.000      5.587 
   12684.539837 [0003]  kworker/u32:13-[17311]             14.166      0.007      0.019 
   12684.539866 [0002]  <idle>                              0.058      0.000      5.645 
   12684.539882 [0000]  Xorg[1087]                         11.536      0.004      0.063 
   12684.539990 [0000]  <idle>                              0.063      0.000      0.108 
   12684.540008 [0002]  budgie-wm[1560]                    12.636      0.007      0.142 
   12684.540013 [0006]  <idle>                              0.171      0.000      5.635 
   12684.540013 [0000]  Xorg[1087]                          0.108      0.006      0.023 
   12684.540077 [0006]  tilix[2046]                        13.458      0.005      0.064 
   12684.540746 [0007]  <idle>                              0.254      0.000      3.206 
   12684.540753 [0007]  rcu_preempt[15]                     7.976      0.005      0.007 
   12684.540778 [0007]  <idle>                              0.007      0.000      0.024 
   12684.540802 [0007]  irq/76-rtw88_pc[671]                3.238      0.002      0.024 
   12684.541057 [0002]  <idle>                              0.142      0.000      1.049 
   12684.541085 [0000]  <idle>                              0.023      0.000      1.071 
   12684.541087 [0002]  budgie-wm[1560]                     1.049      0.005      0.030 
   12684.541100 [0000]  Xorg[1087]                          1.071      0.004      0.014 
   12684.541101 [0002]  <idle>                              0.030      0.000      0.013 
   12684.541353 [0000]  <idle>                              0.014      0.000      0.252 
   12684.541358 [0002]  budgie-wm[1560]                     0.013      0.006      0.256 
   12684.541365 [0000]  Xorg[1087]                          0.252      0.005      0.012 
   12684.541369 [0002]  <idle>                              0.256      0.000      0.011 
   12684.541636 [0006]  <idle>                              0.064      0.000      1.559 
   12684.541652 [0002]  budgie-wm[1560]                     0.011      0.008      0.282 
   12684.541696 [0001]  <idle>                              0.013      0.000     13.866 
   12684.541701 [0006]  budgie-wm:cs0[1567/1560]           16.648      0.006      0.064 
   12684.541706 [0002]  <idle>                              0.282      0.000      0.054 
   12684.541720 [0001]  gfx[850]                           14.106      0.007      0.023 
   12684.541733 [0000]  <idle>                              0.012      0.000      0.367 
   12684.541743 [0002]  budgie-wm[1560]                     0.054      0.009      0.037 
   12684.541787 [0003]  <idle>                              0.019      0.000      1.950 
   12684.541816 [0000]  Xorg[1087]                          0.367      0.004      0.082 
   12684.541816 [0002]  <idle>                              0.037      0.000      0.072 
   12684.541836 [0003]  kworker/u32:13-[17311]              1.950      0.009      0.048 
   12684.541860 [0000]  <idle>                              0.082      0.000      0.044 
   12684.541874 [0006]  <idle>                              0.064      0.000      0.172 
   12684.541875 [0000]  Xorg[1087]                          0.044      0.005      0.015 
   12684.541885 [0002]  budgie-wm[1560]                     0.072      0.008      0.069 
   12684.542309 [0001]  <idle>                              0.023      0.000      0.589 
   12684.542311 [0003]  <idle>                              0.048      0.000      0.474 
   12684.542316 [0001]  gfx[850]                            0.589      0.004      0.006 
   12684.542359 [0003]  kworker/u32:13-[17311]              0.474      0.007      0.047 
   12684.542788 [0000]  <idle>                              0.015      0.000      0.912 
   12684.542796 [0006]  tilix[2046]                         1.796      0.003      0.922 
   12684.542890 [0004]  <idle>                              0.005      0.000     10.336 
   12684.542896 [0000]  Xorg[1087]                          0.912      0.005      0.108 
   12684.542926 [0001]  <idle>                              0.006      0.000      0.609 
   12684.542928 [0000]  <idle>                              0.108      0.000      0.032 
   12684.542929 [0004]  Xorg:cs0[1091/1087]                15.762      0.007      0.039 
   12684.542946 [0001]  gfx[850]                            0.609      0.005      0.020 
   12684.543025 [0001]  <idle>                              0.020      0.000      0.078 
   12684.543028 [0004]  <idle>                              0.039      0.000      0.099 
   12684.543031 [0001]  gfx[850]                            0.078      0.006      0.006 
   12684.543035 [0000]  Xorg[1087]                          0.032      0.003      0.106 
   12684.543044 [0001]  <idle>                              0.006      0.000      0.013 
   12684.543046 [0004]  Xorg:cs0[1091/1087]                 0.099      0.004      0.017 
   12684.543047 [0000]  <idle>                              0.106      0.000      0.012 
   12684.543061 [0001]  gfx[850]                            0.013      0.003      0.017 
   12684.543128 [0004]  <idle>                              0.017      0.000      0.082 
   12684.543135 [0000]  Xorg[1087]                          0.012      0.003      0.087 
   12684.543137 [0001]  <idle>                              0.017      0.000      0.075 
   12684.543143 [0004]  Xorg:cs0[1091/1087]                 0.082      0.003      0.014 
   12684.543144 [0000]  <idle>                              0.087      0.000      0.009 
   12684.543150 [0001]  gfx[850]                            0.075      0.006      0.013 
   12684.543212 [0001]  <idle>                              0.013      0.000      0.061 
   12684.543217 [0004]  <idle>                              0.014      0.000      0.073 
   12684.543218 [0001]  gfx[850]                            0.061      0.006      0.006 
   12684.543223 [0000]  Xorg[1087]                          0.009      0.004      0.079 
   12684.543230 [0001]  <idle>                              0.006      0.000      0.012 
   12684.543232 [0004]  Xorg:cs0[1091/1087]                 0.073      0.002      0.015 
   12684.543233 [0000]  <idle>                              0.079      0.000      0.009 
   12684.543245 [0001]  gfx[850]                            0.012      0.003      0.015 
   12684.543294 [0002]  <idle>                              0.069      0.000      1.408 
   12684.543316 [0001]  <idle>                              0.015      0.000      0.070 
   12684.543322 [0001]  gfx[850]                            0.070      0.006      0.006 
   12684.543344 [0002]  budgie-wm[1560]                     1.408      0.008      0.049 
   12684.543386 [0004]  <idle>                              0.015      0.000      0.153 
   12684.543395 [0000]  Xorg[1087]                          0.009      0.003      0.162 
   12684.543411 [0001]  <idle>                              0.006      0.000      0.088 
   12684.543414 [0004]  Xorg:cs0[1091/1087]                 0.153      0.002      0.028 
   12684.543415 [0000]  <idle>                              0.162      0.000      0.019 
   12684.543428 [0001]  gfx[850]                            0.088      0.003      0.017 
   12684.543429 [0002]  <idle>                              0.049      0.000      0.085 
   12684.543443 [0000]  Xorg[1087]                          0.019      0.003      0.028 
   12684.543495 [0000]  <idle>                              0.028      0.000      0.051 
   12684.543507 [0000]  Xorg[1087]                          0.051      0.004      0.012 
   12684.543517 [0002]  budgie-wm[1560]                     0.085      0.006      0.088 
   12684.543708 [0001]  <idle>                              0.017      0.000      0.280 
   12684.543712 [0001]  gfx[850]                            0.280      0.002      0.004 
   12684.543847 [0006]  <idle>                              0.922      0.000      1.050 
   12684.543859 [0006]  tilix[2046]                         1.050      0.004      0.011 
   12684.544306 [0007]  <idle>                              0.024      0.000      3.504 
   12684.544341 [0007]  irq/76-rtw88_pc[671]                3.504      0.006      0.034 
   12684.548741 [0007]  <idle>                              0.034      0.000      4.400 
   12684.548746 [0007]  rcu_preempt[15]                     7.987      0.004      0.005 
   12684.556472 [0000]  <idle>                              0.012      0.000     12.965 
   12684.556475 [0003]  <idle>                              0.047      0.000     14.116 
   12684.556494 [0002]  <idle>                              0.088      0.000     12.976 
   12684.556494 [0003]  kworker/u32:13-[17311]             14.116      0.007      0.018 
   12684.556499 [0000]  Xorg[1087]                         12.965      0.002      0.026 
   12684.556576 [0000]  <idle>                              0.026      0.000      0.076 
   12684.556590 [0006]  <idle>                              0.011      0.000     12.731 
   12684.556591 [0000]  Xorg[1087]                          0.076      0.006      0.015 
   12684.556591 [0002]  budgie-wm[1560]                    12.976      0.008      0.097 
   12684.556624 [0006]  tilix[2046]                        12.731      0.004      0.033 
   12684.556737 [0007]  <idle>                              0.005      0.000      7.990 
   12684.556740 [0007]  rcu_preempt[15]                     7.990      0.004      0.002 
   12684.557642 [0002]  <idle>                              0.097      0.000      1.050 
   12684.557668 [0000]  <idle>                              0.015      0.000      1.077 
   12684.557670 [0002]  budgie-wm[1560]                     1.050      0.005      0.028 
   12684.557682 [0000]  Xorg[1087]                          1.077      0.004      0.013 
   12684.557683 [0002]  <idle>                              0.028      0.000      0.012 
   12684.557918 [0000]  <idle>                              0.013      0.000      0.236 
   12684.557924 [0002]  budgie-wm[1560]                     0.012      0.006      0.241 
   12684.557931 [0000]  Xorg[1087]                          0.236      0.005      0.012 
   12684.557931 [0002]  <idle>                              0.241      0.000      0.006 
   12684.558180 [0006]  <idle>                              0.033      0.000      1.556 
   12684.558198 [0002]  budgie-wm[1560]                     0.006      0.005      0.266 
   12684.558231 [0001]  <idle>                              0.004      0.000     14.519 
   12684.558237 [0006]  budgie-wm:cs0[1567/1560]           16.479      0.006      0.056 
   12684.558242 [0002]  <idle>                              0.266      0.000      0.044 
   12684.558249 [0001]  gfx[850]                           14.519      0.005      0.017 
   12684.558269 [0000]  <idle>                              0.012      0.000      0.338 
   12684.558279 [0002]  budgie-wm[1560]                     0.044      0.009      0.036 
   12684.558319 [0003]  <idle>                              0.018      0.000      1.824 
   12684.558345 [0000]  Xorg[1087]                          0.338      0.004      0.076 
   12684.558346 [0002]  <idle>                              0.036      0.000      0.066 
   12684.558368 [0003]  kworker/u32:13-[17311]              1.824      0.008      0.049 
   12684.558389 [0000]  <idle>                              0.076      0.000      0.043 
   12684.558402 [0006]  <idle>                              0.056      0.000      0.164 
   12684.558404 [0000]  Xorg[1087]                          0.043      0.005      0.014 
   12684.558413 [0002]  budgie-wm[1560]                     0.066      0.008      0.067 
   12684.558881 [0001]  <idle>                              0.017      0.000      0.631 
   12684.558882 [0003]  <idle>                              0.049      0.000      0.513 
   12684.558886 [0001]  gfx[850]                            0.631      0.004      0.004 
   12684.558931 [0003]  kworker/u32:13-[17311]              0.513      0.007      0.048 
   12684.559305 [0000]  <idle>                              0.014      0.000      0.900 
   12684.559313 [0006]  tilix[2046]                         1.778      0.003      0.910 
   12684.559400 [0004]  <idle>                              0.028      0.000     15.985 
   12684.559406 [0000]  Xorg[1087]                          0.900      0.005      0.101 
   12684.559433 [0001]  <idle>                              0.004      0.000      0.547 
   12684.559436 [0000]  <idle>                              0.101      0.000      0.030 
   12684.559437 [0004]  Xorg:cs0[1091/1087]                15.985      0.007      0.036 
   12684.559453 [0001]  gfx[850]                            0.547      0.005      0.019 
   12684.559533 [0001]  <idle>                              0.019      0.000      0.079 
   12684.559534 [0004]  <idle>                              0.036      0.000      0.097 
   12684.559539 [0001]  gfx[850]                            0.079      0.006      0.006 
   12684.559541 [0000]  Xorg[1087]                          0.030      0.003      0.105 
   12684.559550 [0001]  <idle>                              0.006      0.000      0.010 
   12684.559552 [0004]  Xorg:cs0[1091/1087]                 0.097      0.003      0.017 
   12684.559553 [0000]  <idle>                              0.105      0.000      0.011 
   12684.559569 [0001]  gfx[850]                            0.010      0.003      0.019 
   12684.559633 [0004]  <idle>                              0.017      0.000      0.081 
   12684.559640 [0000]  Xorg[1087]                          0.011      0.003      0.086 
   12684.559640 [0001]  <idle>                              0.019      0.000      0.070 
   12684.559645 [0001]  gfx[850]                            0.070      0.005      0.005 
   12684.559648 [0001]  <idle>                              0.005      0.000      0.002 
   12684.559651 [0004]  Xorg:cs0[1091/1087]                 0.081      0.003      0.017 
   12684.559652 [0000]  <idle>                              0.086      0.000      0.012 
   12684.559660 [0001]  gfx[850]                            0.002      0.000      0.011 
   12684.559722 [0001]  <idle>                              0.011      0.000      0.062 
   12684.559724 [0004]  <idle>                              0.017      0.000      0.073 
   12684.559729 [0001]  gfx[850]                            0.062      0.005      0.006 
   12684.559731 [0000]  Xorg[1087]                          0.012      0.003      0.079 
   12684.559737 [0001]  <idle>                              0.006      0.000      0.008 
   12684.559739 [0004]  Xorg:cs0[1091/1087]                 0.073      0.003      0.014 
   12684.559740 [0000]  <idle>                              0.079      0.000      0.008 
   12684.559758 [0001]  gfx[850]                            0.008      0.003      0.020 
   12684.559802 [0002]  <idle>                              0.067      0.000      1.389 
   12684.559829 [0001]  <idle>                              0.020      0.000      0.071 
   12684.559835 [0001]  gfx[850]                            0.071      0.006      0.006 
   12684.559851 [0002]  budgie-wm[1560]                     1.389      0.007      0.048 
   12684.559892 [0004]  <idle>                              0.014      0.000      0.152 
   12684.559901 [0000]  Xorg[1087]                          0.008      0.003      0.160 
   12684.559904 [0000]  <idle>                              0.160      0.000      0.003 
   12684.559912 [0000]  Xorg[1087]                          0.003      0.000      0.007 
   12684.559921 [0001]  <idle>                              0.006      0.000      0.085 
   12684.559925 [0000]  <idle>                              0.007      0.000      0.012 
   12684.559925 [0004]  Xorg:cs0[1091/1087]                 0.152      0.003      0.033 
   12684.559938 [0001]  gfx[850]                            0.085      0.002      0.017 
   12684.559939 [0002]  <idle>                              0.048      0.000      0.088 
   12684.559953 [0000]  Xorg[1087]                          0.012      0.002      0.028 
   12684.560003 [0000]  <idle>                              0.028      0.000      0.050 
   12684.560015 [0000]  Xorg[1087]                          0.050      0.004      0.011 
   12684.560027 [0002]  budgie-wm[1560]                     0.088      0.006      0.087 
   12684.560216 [0001]  <idle>                              0.017      0.000      0.277 
   12684.560220 [0001]  gfx[850]                            0.277      0.002      0.004 
   12684.560751 [0007]  <idle>                              0.002      0.000      4.010 
   12684.560756 [0007]  rcu_preempt[15]                     4.010      0.009      0.004 
   12684.564738 [0007]  <idle>                              0.004      0.000      3.982 
   12684.564741 [0007]  rcu_preempt[15]                     3.982      0.007      0.003 
   12684.572736 [0007]  <idle>                              0.003      0.000      7.995 
   12684.572741 [0007]  rcu_preempt[15]                     7.995      0.007      0.004 
   12684.573132 [0000]  <idle>                              0.011      0.000     13.116 
   12684.573134 [0003]  <idle>                              0.048      0.000     14.203 
   12684.573152 [0003]  kworker/u32:13-[17311]             14.203      0.007      0.018 
   12684.573154 [0002]  <idle>                              0.087      0.000     13.127 
   12684.573159 [0000]  Xorg[1087]                         13.116      0.002      0.027 
   12684.573234 [0000]  <idle>                              0.027      0.000      0.075 
