image,threads,mean_exec_time
64,1,0.0001071111111111111
64,2,0.0002113030303030303
64,3,0.000232969696969697
64,4,0.0002723737373737374
64,5,0.00035488888888888896
64,6,0.00041977777777777776
64,7,0.0005069292929292928
64,8,0.0005794949494949495
64,9,0.0006341919191919192
64,10,0.0007026767676767677
64,11,0.0007645050505050504
64,12,0.0008275252525252526
64,13,0.0008867676767676768
64,14,0.0009357878787878787
64,15,0.000994848484848485
64,16,0.0010666868686868688
256,1,0.0018924141414141413
256,2,0.0011906262626262627
256,3,0.0009035353535353535
256,4,0.0008570909090909092
256,5,0.000855959595959596
256,6,0.0008865252525252525
256,7,0.0009514848484848485
256,8,0.000992191919191919
256,9,0.0011114343434343436
256,10,0.0012453333333333333
256,11,0.0013815454545454545
256,12,0.0014765151515151514
256,13,0.0015400000000000001
256,14,0.0016022323232323234
256,15,0.001727969696969697
256,16,0.0017976565656565658
512,1,0.007614828282828284
512,2,0.004088585858585859
512,3,0.0029506262626262623
512,4,0.002387565656565657
512,5,0.002175828282828283
512,6,0.0020737171717171723
512,7,0.002035070707070707
512,8,0.002163525252525253
512,9,0.002384909090909091
512,10,0.002354373737373737
512,11,0.0024297878787878785
512,12,0.00250730303030303
512,13,0.002451111111111111
512,14,0.0027565656565656563
512,15,0.0028079595959595955
512,16,0.0028876464646464648
1024,1,0.030489494949494954
1024,2,0.015626797979797977
1024,3,0.011750242424242423
1024,4,0.009825525252525252
1024,5,0.009971535353535354
1024,6,0.00902508080808081
1024,7,0.008351353535353535
1024,8,0.007842575757575757
1024,9,0.007366202020202021
1024,10,0.00771480808080808
1024,11,0.007971696969696969
1024,12,0.008309939393939394
1024,13,0.008457484848484848
1024,14,0.008758959595959596
1024,15,0.008707262626262625
1024,16,0.008375141414141413
2048,1,0.12975143434343436
2048,2,0.060970898989898985
2048,3,0.0420969898989899
2048,4,0.03431421212121212
2048,5,0.03093627272727273
2048,6,0.030782555555555556
2048,7,0.02947934343434343
2048,8,0.02726256565656566
2048,9,0.02772971717171717
2048,10,0.025923949494949493
2048,11,0.02596292929292929
2048,12,0.025308787878787875
2048,13,0.026006535353535355
2048,14,0.0262949898989899
2048,15,0.028107252525252528
2048,16,0.027794686868686868
4096,1,0.4870921717171717
4096,2,0.24712664646464644
4096,3,0.16497444444444445
4096,4,0.12758052525252525
4096,5,0.10830905050505052
4096,6,0.1025511212121212
4096,7,0.09835546464646464
4096,8,0.09478020202020204
4096,9,0.09730914141414143
4096,10,0.09336317171717173
4096,11,0.08922384848484848
4096,12,0.08731812121212121
4096,13,0.08587224242424243
4096,14,0.08640860606060607
4096,15,0.08974852525252526
4096,16,0.085324101010101
